我,送,你,那,里	C-PN,C-VV,C-PN,M-PN,C-PN
我,对,你,感,谢,很,多	C-PN,C-P,C-PN,D-VV,C-VV,C-AD,C-VA
把,我,的,中,文,能,力,也,很,快,速,地,进,步,了	R-BA,C-PN,C-DEG,C-NN,C-NN,C-NN,C-NN,C-AD,C-AD,C-VA,C-VA,C-DEV,C-VV,C-VV,C-AS
没,想,到,像,李,大,年,一,样,脸,变,很,臭,著,说	C-AD,C-VV,C-VV,C-P,C-NR,C-JJ,C-JJ,C-JJ,C-JJ,S-NN,C-VV,C-AD,C-JJ,C-NN,C-NN
这,时,候,出,社,会,就,能,力,跟,不,上,等,的,问,题,会,发,生	C-AD,C-AD,C-AD,C-VV,C-NN,C-NN,C-AD,D-NN,C-NN,C-CC,C-AD,C-VA,C-VA,C-DEC,C-NN,C-NN,C-VV,C-VV,C-VV
就,是,你,不,小,心,买	C-AD,C-VC,C-PN,C-AD,C-AD,C-AD,C-VV
就,它,著,迷,了	C-AD,M-PN,C-AS,C-VA,C-SP
换,话,来,说	S-VV,C-NN,C-MSP,C-VV
然,后,把,她,抱,一,下	C-AD,C-AD,C-BA,C-PN,C-VV,S-CD,C-M
然,后,警,察,被,我,留,在,警,察,局,里,了	C-AD,C-AD,C-NN,C-NN,S-SB,C-PN,C-VV,C-P,C-NN,C-NN,C-NN,C-LC,C-SP
等,于,在,网,路,上,接,触,而,已,的,人,们	C-VV,C-VV,C-P,C-NN,C-NN,C-LC,C-VV,C-VV,D-AD,C-AD,C-DEC,C-NN,C-NN
结,果,还,是,被,食,物,中,毒	C-AD,C-AD,C-AD,C-VC,R-LB,C-VV,C-VV,C-VV,C-VV
超,市,的,店,员,竟,然,不,但,对,我,们,并,不,道,歉	C-NN,C-NN,C-DEG,C-NN,C-NN,C-AD,C-AD,C-AD,C-AD,S-P,C-PN,C-PN,C-AD,C-AD,C-VV,C-VV
当,天,你,别,担,心,我,找,不,到	C-NT,C-NT,C-VV,C-VV,C-VV,C-VV,D-PN,C-VV,C-AD,C-VV
当,天,的,我,的,样,子,先,告,诉,你	D-NT,C-NT,C-DEG,C-PN,C-DEG,C-NN,C-NN,C-AD,C-VV,C-VV,C-PN
这,几,年,过,来	C-DT,C-CD,C-M,S-VV,C-VV
绿,色,会,给,人,的,颜,舒,服,的,感,觉	C-NN,C-NN,C-VV,C-VV,C-NN,R-DEC,C-NN,C-VA,C-VA,C-DEC,C-NN,C-NN
轻,松,得,跟,很,多,各,种,各,样,的,人,交,朋,友	C-VA,C-VA,S-DER,C-P,C-CD,C-CD,C-JJ,C-JJ,C-JJ,C-JJ,C-DEG,C-NN,C-VV,C-VV,C-VV
还,是,我,的,心,被,受,伤,了	C-AD,C-AD,C-PN,C-DEG,C-NN,R-SB,C-VV,C-VV,C-AS
它,一,定,经,济,跟,著,发,展	C-PN,C-JJ,C-JJ,S-NN,C-NN,C-NN,C-NN,C-NN,C-NN
我,的,损,失,不,是,比,较,大,呢	C-PN,C-DEG,C-NN,C-NN,C-AD,C-VC,C-AD,C-AD,C-VA,S-SP
这,才,不,是,道,理,吗	C-PN,C-AD,C-AD,C-VC,C-NN,C-NN,S-SP
一,同,这,封,信	R-CD,C-P,C-DT,C-M,C-NN
不,过,从,这,个,事,情,我,们,也,学,到,多,少,的,教,训,吧	C-AD,C-AD,C-P,C-DT,C-DT,C-NN,C-NN,C-PN,C-PN,C-AD,C-VV,C-VV,S-CD,C-CD,C-DEG,C-NN,C-NN,C-SP
反,正,没,有,性,感,的,话,题	C-AD,C-AD,C-VE,C-VE,S-JJ,C-JJ,C-DEG,C-NN,C-NN
他,很,努,力,的,找,新,客,人,和,用,功,的,职,员	C-PN,C-AD,C-VA,C-VA,C-DEV,C-VV,C-VV,C-NN,C-NN,C-CC,S-VV,C-VV,C-DEC,C-NN,C-NN
可,是,比,较,亮,亮,的	C-AD,C-AD,C-AD,C-AD,C-VA,R-VA,C-VA
可,是,他,非,常,严,重	C-AD,C-AD,C-PN,C-AD,C-AD,S-VA,C-VA
我,朋,友,说,虽,然,很,恐,怕	C-PN,C-NN,C-NN,C-VV,C-CS,C-CS,C-AD,S-AD,C-AD
我,真,觉,得,很,运,气,认,识,了,你	C-PN,C-AD,C-VV,C-VV,C-AD,S-VA,C-VA,C-VV,C-VV,C-AS,C-PN
我,想,向,您,回,报,我,家,最,近,的,可,怖,遭,遇	C-PN,C-VV,C-P,C-PN,C-VV,C-VV,C-PN,C-NN,C-AD,C-VA,C-DEC,S-VA,C-VA,C-VV,C-VV
我,会,向,他,要,求,先,给,我,适,当,的,钱	C-PN,C-VV,C-P,C-PN,C-VV,C-VV,C-VV,C-VV,C-PN,S-JJ,C-JJ,C-DEG,C-NN
身,体,立,刻,有,不,良,性,的,反,应	C-NN,C-NN,C-AD,C-AD,C-VE,C-JJ,C-JJ,R-NN,C-DEG,C-NN,C-NN
所,以,年,纪,少,或,社,会,经,验,少,的,人,容,易,被,歹,徒,骗	C-AD,C-AD,C-NN,C-NN,S-VA,C-CC,C-NN,C-NN,C-NN,C-NN,C-VA,C-DEC,C-NN,C-AD,C-AD,C-LB,C-NN,C-NN,C-VV
所,以,很,热,烈,地,期,待,这,个,社,会,的,人	C-AD,C-AD,C-AD,S-AD,C-AD,C-AD,C-VV,C-VV,C-DT,C-DT,C-NN,C-NN,C-DEG,C-NN
所,以,让,她,的,生,活,更,难	C-AD,C-AD,C-VV,C-PN,C-DEG,C-NN,C-NN,C-AD,S-VA
怎,么,可,能,还,出,现,这,样,的,可,怖,情,况	C-AD,C-AD,C-VV,C-VV,C-AD,C-VV,C-VV,C-AD,C-AD,C-DEV,S-VA,C-VA,C-NN,C-NN
是,因,为,每,个,人,的,朋,友,定,义,不,一,定	C-VC,C-P,C-P,C-DT,C-DT,C-NN,C-DEG,C-NN,C-NN,C-VV,C-VV,S-AD,C-VA,C-VA
看,到,这,个,可,怖,状,况	C-VV,C-VV,C-PN,C-PN,S-VA,C-VA,C-NN,C-NN
美,诗,也,让,我,觉,得,很,高,兴	C-NN,C-NN,C-AD,C-VV,C-PN,C-VV,C-VV,C-AD,S-VA,C-VA
这,是,一,件,挺,有,兴,趣,的,事,情	C-PN,C-VC,C-CD,C-M,C-VV,C-VV,S-NN,C-NN,C-DEC,C-NN,C-NN
这,是,非,常,高,兴,的,时,间	C-PN,C-VC,C-AD,C-AD,S-VA,C-VA,C-DEC,C-NN,C-NN
这,种,过,度,的,发,展,当,然,对,以,色,列,的,观,光,业,以,及,经,济,成,长,率,带,来,优,良,的,影,响	C-AD,C-AD,C-VA,C-VA,C-DEC,C-NN,C-NN,C-AD,C-AD,C-P,C-NR,C-NR,C-NR,C-DEG,C-NN,C-NN,C-NN,C-CC,C-CC,C-NN,C-NN,C-NN,C-NN,C-NN,C-VV,C-VV,S-JJ,C-JJ,C-DEG,C-NN,C-NN
然,后,如,果,以,后,她,的,生,活,变,得,很,难,过,的,话	C-AD,C-AD,C-CS,C-CS,C-LC,C-LC,C-PN,C-DEG,C-NN,C-NN,C-VV,C-DER,C-AD,S-VA,C-VV,C-DEC,C-NN
网,路,交,友,实,说,大,部,分,是,这,样,子,的	C-NN,C-NN,C-NN,C-NN,M-AD,C-AD,C-CD,C-CD,C-CD,C-VC,C-AD,C-AD,C-NN,C-DEG
说,我,对,电,脑,的,了,解,不,错	C-VV,C-PN,C-P,C-NN,C-NN,C-DEG,C-NN,C-NN,S-VA,C-VA
请,你,准,时,间,啦	C-VV,C-PN,C-AD,C-AD,R-LC,C-SP
导,致,人,口,会,越,来,越,减,少	C-VV,C-VV,C-NN,C-NN,C-VV,C-AD,C-AD,C-AD,S-VV,C-VV
鲜,的,空,气,等	S-JJ,C-DEG,C-NN,C-NN,C-ETC
关,系,更,强,了	C-NN,C-NN,C-AD,S-VA,C-SP
让,我,和,他,永,远,不,能,是,亲,切,的,朋,友,了	C-VV,C-PN,C-P,C-PN,C-AD,C-AD,C-AD,C-VV,C-VC,S-VA,C-VA,C-DEC,C-NN,C-NN,C-SP
我,一,天,偶,然,进,了,我,朋,友,的,部,落,格	C-PN,M-CD,C-M,C-AD,C-AD,C-VV,C-AS,C-PN,C-NN,C-NN,C-DEG,C-NN,C-NN,C-NN
所,以,你,应,该,不,知,道,我,像,什,么,样,子	C-AD,C-AD,C-PN,C-VV,C-VV,C-AD,C-VV,C-VV,C-PN,S-VV,C-PN,C-PN,C-NN,C-NN
一,边,判,断,那,些,人,的,个,性,与,爱,好,是,否,合,适,我,的,个,性	C-AD,C-AD,C-VV,C-VV,C-DT,C-DT,C-NN,C-DEG,C-NN,C-NN,C-CC,C-NN,C-NN,C-AD,C-AD,S-VA,C-VA,C-PN,C-DEG,C-NN,C-NN
也,没,有,特,别,讨,厌,或,隔,距,离,耶	C-AD,C-AD,C-AD,C-AD,C-AD,C-VV,C-VV,C-CC,S-VV,C-NN,C-NN,C-NN
也,请,你,那,天,以,前,告,诉,我,怎,么,发,现,你	C-AD,C-VV,C-PN,C-NT,C-NT,C-LC,C-LC,C-VV,C-VV,C-PN,C-AD,C-AD,S-VV,C-VV,C-PN
大,学,生,也,通,过,打,工,经,验,得,知,金,钱,的,重,要,性	C-NN,C-NN,C-NN,C-AD,S-P,C-P,C-NN,C-NN,C-NN,C-NN,C-VV,C-VV,C-NN,C-NN,C-DEG,C-NN,C-NN,C-NN
不,料,想,像,李,大,年,一,样,臭,著,脸,说	S-AD,C-AD,C-VV,C-VV,C-NR,C-JJ,C-JJ,C-VA,C-VA,C-VA,C-AS,C-NN,C-NN
不,料,想,像,李,大,年,一,样,脸,变,得,很,臭	C-AD,C-AD,R-VV,C-VV,C-NR,C-JJ,C-JJ,C-JJ,C-JJ,C-NN,C-VV,C-DER,C-AD,C-VA
不,过,你,可,以,算,自,己,上,了,生,活,的,一,课	C-AD,C-AD,C-PN,C-VV,C-VV,S-VV,C-PN,C-PN,C-VV,C-AS,C-NN,C-NN,C-DEG,C-CD,C-NN
中,央,政,府,于,明,治,时,代,规,划,在,这,座,城,市,敷,设,铁,路	C-NR,C-NR,C-NR,C-NR,C-P,C-NR,C-NR,C-NN,C-NN,C-VV,C-VV,C-P,C-DT,C-M,C-NN,C-NN,S-VV,C-VV,C-NN,C-NN
中,国,人,随,口,邀,请,外,国,人,招,待	C-NR,C-NR,C-NN,C-AD,C-AD,C-VV,C-VV,C-NN,C-NN,C-NN,S-VV,C-VV
什,么,东,西,都,不,能,还,他,的,爱,心	C-DT,C-DT,C-NN,C-NN,C-AD,C-AD,C-VV,S-AD,C-PN,C-DEG,C-NN,C-NN
午,饭,吃,完,了,就,去,看,新,光,三,越,和,１,０,１	C-NN,C-NN,C-VV,C-VV,C-AS,C-AD,C-VV,S-VV,C-JJ,C-NN,C-CD,C-NR,C-CC,C-CD,C-CD,C-CD
以,后,就,没,有,谁,敢,跟,你,帮,忙,买,什,么,了	C-AD,C-AD,C-AD,C-AD,C-AD,C-VV,C-VV,S-P,C-PN,C-VV,C-VV,C-VV,C-PN,C-PN,C-SP
以,后,就,没,有,谁,敢,请,你,帮,买,什,么,了	C-AD,C-AD,C-AD,C-VE,C-VE,C-NN,C-NN,C-VV,C-NN,S-NN,C-VV,C-PN,C-PN,C-SP
他,也,来,向,我,抱,歉	C-PN,C-AD,C-VV,C-P,C-PN,S-VV,C-VV
他,对,我,相,当,客,气,而,且,一,直,邀,请,我,来,他,家,吃,饭	C-PN,C-P,C-PN,C-AD,C-AD,C-VA,C-VA,C-CC,C-CC,C-AD,C-AD,C-VV,C-VV,C-PN,S-VV,C-VV,C-VV,C-VV,C-VV
包,括,一,些,职,业,的,演,员,会,演,民,族,舞,蹈	C-VV,C-VV,C-CD,C-CD,C-NN,C-NN,C-DEG,C-NN,C-NN,C-NN,S-NN,C-NN,C-NN,C-NN,C-NN
可,是,她,一,直,站,著,我,的,旁,边,照,顾,我	C-AD,C-AD,C-PN,C-AD,C-AD,C-VV,S-VV,C-PN,C-DEG,C-NN,C-NN,C-VV,C-VV,C-PN
可,是,我,觉,得,我,们,应,该,打,算,甚,么,时,候,见,面	C-AD,C-AD,C-PN,C-VV,C-VV,C-PN,C-PN,C-VV,C-VV,S-VV,C-VV,C-DT,C-DT,C-NN,C-NN,C-VV,C-VV
可,是,现,在,当,好,朋,友	C-AD,C-AD,C-NT,C-NT,S-P,C-JJ,C-NN,C-NN
可,能,你,不,可,以,认,得,我	C-VV,C-VV,C-PN,S-VV,C-VV,C-VV,C-VV,C-DER,C-PN
只,跟,著,她,的,教,训,就,好	C-AD,S-VV,C-VV,C-PN,C-DEG,C-NN,C-NN,C-AD,C-VA
它,可,以,装,两,、,三,千,人	C-PN,C-VV,C-VV,S-VV,C-CD,C-PU,C-CD,C-CD,C-NN
市,政,府,是,台,北,１,０,１,的,附,近	C-NN,C-NN,C-NN,S-VC,C-NR,C-NR,C-CD,C-CD,C-CD,C-DEG,C-NN,C-NN
由,于,我,不,喜,欢,早,起,床	C-P,C-P,C-PN,C-AD,C-VV,C-VV,C-AD,C-VV,R-VV
先,互,相,交,流,对,方,的,Ｍ,Ｓ,Ｎ	C-AD,C-AD,C-AD,S-VV,C-VV,C-PN,C-PN,C-DEG,C-NR,C-NR,C-NR
全,家,人,身,体,出,非,常,不,舒,服,的,状,况	C-NN,C-NN,C-NN,C-NN,C-NN,S-VV,C-AD,C-AD,C-AD,C-VA,C-VA,C-DEC,C-NN,C-NN
全,家,人,身,体,都,出,非,常,不,舒,服,的,状,况	C-NN,C-NN,C-NN,C-NN,C-NN,C-AD,S-VV,C-AD,C-AD,C-AD,C-VA,C-VA,C-DEC,C-NN,C-NN
合,适,我,的,个,性	S-VA,C-VA,C-PN,C-DEG,C-NN,C-NN
吃,早,餐,之,后	C-NN,M-NN,C-NN,C-LC,C-LC
吃,饱,以,后,我,们,访,问,我,的,城,市,最,有,名,的,地,方	C-VV,C-VV,C-LC,C-LC,C-PN,C-PN,S-VV,C-VV,C-PN,C-DEC,C-NN,C-NN,C-AD,C-VE,C-NN,C-DEC,C-NN,C-NN
因,此,从,大,学,一,年,级,开,始,希,望,在,国,外,留,学	C-AD,C-AD,C-P,C-NN,C-NN,C-AD,C-AD,C-AD,C-VV,C-VV,C-VV,C-VV,S-P,C-NN,C-NN,C-VV,C-VV
因,为,一,般,人,没,有,办,法,自,己,亲,自,找,自,己,的,兴,趣	C-P,C-P,C-JJ,C-JJ,C-NN,C-VE,C-VE,C-NN,C-NN,C-PN,C-PN,C-AD,C-AD,S-VV,C-PN,C-PN,C-DEG,C-NN,C-NN
因,为,你,要,花,三,个,多,小,时,才,能,回,家	C-P,C-P,C-PN,C-VV,C-VV,C-CD,C-M,C-AD,C-NN,C-NN,C-AD,C-VV,C-VV,M-NN
因,为,怕,你,不,会,认,识,我	C-P,C-P,C-VV,C-PN,S-AD,C-VV,C-VV,C-VV,C-PN
她,也,会,经,验,韩,国,漂,亮,的,地,方	C-PN,C-AD,C-VV,S-NN,C-NN,C-NR,C-NR,C-VA,C-VA,C-DEC,C-NN,C-NN
她,每,天,一,看,我,就,变,得,很,高,兴	C-PN,C-AD,C-AD,C-AD,S-VV,C-PN,C-AD,C-VV,C-DER,C-AD,C-VA,C-VA
她,使,我,接,住,了,很,多,机,会	C-PN,C-VV,C-PN,S-VV,C-VV,C-AS,C-CD,C-CD,C-NN,C-NN
她,的,态,度,好,得,没,说,话	C-PN,C-DEG,C-NN,C-NN,C-VA,C-DER,S-AD,C-VV,C-VV
她,却,好,几,次,经,过,很,悲,哀,的,经,验	C-PN,C-AD,C-CD,C-CD,C-M,S-P,C-P,C-AD,C-VA,C-VA,C-DEC,C-NN,C-NN
如,何,给,客,户,适,当,地,服,务	C-AD,C-AD,C-P,C-NN,C-NN,C-VA,C-VA,S-DEV,C-VV,C-VV
如,果,可,以,用,英,文,或,中,文,打,字,的,话,很,容,易,交,外,国,朋,友	C-CS,C-CS,C-VV,C-VV,C-P,C-NN,C-NN,C-CC,C-NN,C-NN,C-VV,C-VV,C-DEC,C-NN,C-AD,C-AD,C-AD,S-VV,C-NN,C-NN,C-NN,C-NN
如,果,你,太,让,步,对,方	C-CS,C-CS,C-PN,C-AD,S-VV,C-VV,C-PN,C-PN
有,些,人,觉,得,打,工,比,去,大,学,有,意,思	C-DT,C-DT,C-NN,C-VV,C-VV,C-VV,C-VV,C-P,S-VV,C-NN,C-NN,C-VE,C-NN,C-NN
有,的,国,家,文,化,是,喜,欢,随,口,说,话	C-DT,C-DT,C-NN,C-NN,C-NN,C-NN,C-VC,C-VV,C-VV,C-AD,C-AD,S-VV,C-VV
而,且,那,高,中,不,是,我,愿,意,的	C-AD,C-AD,C-DT,C-NN,C-NN,C-AD,C-VC,C-PN,S-VV,C-VV,C-DEC
而,且,直,接,找,负,责,购,买,此,产,品,的,超,级,市,场,负,责,人,反,应,时	C-AD,C-AD,C-AD,C-AD,C-VV,C-VV,C-VV,S-VV,C-VV,C-DT,C-NN,C-NN,C-DEG,C-NN,C-NN,C-NN,C-NN,C-NN,C-NN,C-NN,C-VV,C-NN,C-NN
而,且,跟,不,知,道,的,人,刚,见,面,的,时,候	C-AD,C-AD,C-P,C-AD,S-VV,C-VV,C-DEC,C-NN,C-AD,C-VV,C-VV,C-DEC,C-NN,C-NN
而,且,帮,我,成,功,我,的,目,的,和,改,善,我,的,生,活	C-AD,C-AD,C-P,C-PN,S-VV,C-VV,C-PN,C-DEG,C-NN,C-NN,C-CC,C-VV,C-VV,C-PN,C-DEG,C-NN,C-NN
而,好,不,容,易,帮,他,买,那,个,偶,像,的,照,片	C-AD,C-AD,C-AD,C-AD,C-AD,C-P,C-PN,S-VV,C-DT,C-DT,C-NN,C-NN,C-DEG,C-NN,C-NN
而,是,让,他,们,当,个,公,道	C-AD,C-VC,C-VV,C-PN,C-PN,S-VV,C-M,C-NN,C-NN
但,在,我,心,里,满,著,希,望	C-AD,C-P,C-PN,C-NN,C-NN,M-VV,C-AS,C-NN,C-NN
但,是,我,好,不,容,易,买,２,张,票,后	C-AD,C-AD,C-PN,C-AD,C-AD,C-AD,C-AD,S-VV,C-CD,C-M,C-NN,C-NN
但,偶,尔,会,受,到,共,同,兴,趣,的,网,友,的,联,络	C-AD,C-AD,C-AD,C-VV,S-VV,C-VV,C-JJ,C-JJ,C-NN,C-NN,C-DEG,C-NN,C-NN,C-DEG,C-NN,C-NN
但,敷,设,铁,路,后	C-AD,S-VV,C-VV,C-NN,C-NN,C-LC
但,验,考,的,人,都,没,有,做,事	C-AD,S-VV,C-VV,C-DEC,C-NN,C-AD,C-VE,C-VE,C-VV,C-VV
你,也,可,以,通,过,网,路,再,把,那,些,Ｃ,Ｄ,卖	C-PN,C-AD,C-VV,C-VV,C-P,C-P,C-NN,C-NN,C-AD,C-BA,C-DT,C-DT,C-NN,C-NN,C-VV
你,有,九,点,半,的,公,车	C-PN,S-VE,C-NT,C-NT,C-CD,C-DEG,C-NN,C-NN
别,忘,了,我,对,您,的,意,见	C-AD,C-VV,C-AS,C-PN,S-P,C-PN,C-DEG,C-NN,C-NN
希,望,可,以,收,到,贵,单,位,的,协,助	C-VV,C-VV,C-VV,C-VV,S-VV,C-VV,C-NN,C-NN,C-NN,C-DEG,C-NN,C-NN
希,望,你,在,台,北,计,划,过,几,个,星,期	C-VV,C-VV,C-PN,C-P,C-NR,C-NR,C-VV,C-VV,S-AS,C-CD,C-M,C-NN,C-NN
我,十,一,点,在,台,北,车,站,去,接,你	C-PN,C-CD,C-CD,C-M,S-P,C-NR,C-NR,C-NN,C-NN,C-VV,C-VV,C-PN
我,以,为,我,们,最,好,先,一,起,去,吃,饭	C-PN,S-VV,C-VV,C-PN,C-PN,C-AD,C-JJ,C-NN,C-CD,C-M,C-VV,C-VV,C-VV
我,以,为,最,好,的,见,面,的,时,间,是,下,午,三,点,钟	C-PN,S-VV,C-VV,C-AD,C-VA,C-DEC,C-NN,C-NN,C-DEG,C-NN,C-NN,C-VC,C-NT,C-NT,C-NT,C-NT,C-NT
我,希,望,对,父,母,更,幸,福,的,生,活	C-PN,C-VV,C-VV,S-P,C-NN,C-NN,C-AD,C-VA,C-VA,C-DEC,C-NN,C-NN
我,希,望,骗,我,卖,蔬,菜,的,人,亲,自,跟,全,家,人,道,歉	C-PN,C-VV,C-VV,C-VV,C-PN,S-VV,C-NN,C-NN,C-DEC,C-NN,C-AD,C-AD,C-P,C-NN,C-NN,C-NN,C-VV,C-VV
我,非,常,身,解,妳,的,心,情	C-PN,C-AD,C-AD,S-VV,C-VV,C-VV,C-DEC,C-NN,C-NN
我,很,紧,张,地,等,著,我,们,当,面,的,机,会	C-PN,C-AD,C-VA,C-VA,C-DEV,C-VV,C-AS,C-PN,C-PN,S-AD,C-AD,C-DEC,C-NN,C-NN
我,怎,么,能,认,得,你	C-PN,C-AD,C-AD,C-VV,S-VV,C-VV,C-PN
我,怎,么,认,得,你	C-PN,C-AD,C-AD,S-VV,C-VV,C-PN
我,们,已,经,算,笔,友,三,年	C-PN,C-PN,C-AD,C-AD,S-VV,C-NN,C-NN,C-NT,C-NT
我,们,可,以,一,边,看,一,边,纪,念,以,前,的,事,情	C-PN,C-PN,C-VV,C-VV,C-AD,C-AD,C-VV,C-AD,C-AD,S-VV,C-VV,C-NT,C-NT,C-DEG,C-NN,C-NN
我,们,决,定,向,卫,生,局,来,赶,快,处,理	C-PN,C-PN,C-VV,C-VV,S-P,C-NN,C-NN,C-NN,C-MSP,C-AD,C-AD,C-VV,C-VV
我,们,这,半,年,来,常,互,相,传,信	C-PN,C-PN,C-DT,C-CD,C-M,C-LC,C-AD,C-AD,C-AD,S-VV,C-VV
我,们,开,始,成,笔,友,已,经,两,年,了	C-PN,C-PN,C-VV,C-VV,S-VV,C-NN,C-NN,C-AD,C-AD,C-CD,C-M,C-SP
我,们,认,为,卫,生,局,一,定,可,以,维,持,台,湾,往,昔,所,荣,誉,地,享,受,的,食,物,安,全	C-PN,C-PN,C-VV,C-VV,C-NN,C-NN,C-NN,C-AD,C-AD,C-VV,C-VV,C-VV,C-VV,C-NR,C-NR,C-VV,C-VV,C-NN,S-NN,C-NN,C-DEV,C-VV,C-VV,C-DEC,C-NN,C-NN,C-NN,C-NN
我,们,应,该,说,定,你,怎,么,在,火,车,站,认,得,我	C-PN,C-PN,C-VV,C-VV,C-VV,C-VV,C-PN,C-AD,C-AD,C-P,C-NN,C-NN,C-NN,S-VV,C-VV,C-PN
我,特,去,此,信,向,您,汇,报,一,下	C-PN,C-AD,S-VV,C-PN,C-NN,C-P,C-PN,C-VV,C-VV,C-CD,C-M
我,做,了,一,幅,画	C-PN,S-VV,C-AS,C-CD,C-M,C-NN
我,现,在,跟,她,可,以,说,话,的,是	C-PN,C-NT,C-NT,C-P,C-PN,C-VV,C-VV,S-VV,C-VV,C-DEC,C-VC
我,就,去,学,校,说,这,感,谢,的,心,情	C-PN,C-AD,C-VV,C-NN,C-NN,S-VV,C-DT,C-VV,C-VV,C-DEC,C-NN,C-NN
我,画,了,一,幅,画,品	C-PN,C-VV,C-AS,C-CD,C-M,C-NN,R-NN
我,发,现,了,她,在,我,的,皮,包,里,扔,了,钱	C-PN,C-VV,C-VV,C-AS,C-PN,C-P,C-PN,C-DEG,C-NN,C-NN,C-LC,S-VV,C-AS,C-NN
我,会,穿,红,帽,子	C-PN,C-VV,S-VV,C-NN,C-NN,C-NN
我,认,为,这,是,一,种,理,想,跟,现,实,之,间,造,出,的,矛,盾	C-PN,C-VV,C-VV,C-PN,C-VC,C-CD,C-M,C-NN,C-NN,C-CC,C-NN,C-NN,C-LC,C-LC,S-VV,C-VV,C-DEC,C-NN,C-NN
我,认,识,好,几,家,又,便,宜,又,好,吃,的,餐,厅	C-PN,S-VV,C-VV,C-CD,C-CD,C-M,C-CC,C-VA,C-VA,C-CC,C-VA,C-VA,C-DEC,C-NN,C-NN
我,醒,回,来,以,后,发,现,他,还,在,我,旁,边,陪,我	C-PN,S-VV,C-VV,C-VV,C-LC,C-LC,C-VV,C-VV,C-PN,C-AD,C-P,C-PN,C-NN,C-NN,C-VV,C-VV
我,帮,你,考,虑,好,的,办,法	C-PN,C-AD,C-AD,S-VV,C-VV,C-VA,C-DEC,C-NN,C-NN
每,天,我,来,上,课,跟,他,们,一,起,念	C-AD,C-AD,C-PN,C-VV,C-VV,C-VV,C-P,C-PN,C-PN,C-AD,C-AD,C-VV
没,办,法,随,便,表,现,出,自,己,的,意,见	C-VE,C-NN,C-NN,C-AD,C-AD,S-VV,C-VV,C-VV,C-PN,C-PN,C-DEG,C-NN,C-NN
没,办,法,随,便,表,现,出,自,己,的,意,见	C-VE,C-NN,C-NN,C-AD,C-AD,S-VV,C-VV,C-VV,C-PN,C-PN,C-DEG,C-NN,C-NN
那,些,验,考,的,硕,士,生,也,没,有,去,注,意	C-DT,C-DT,S-VV,C-VV,C-DEC,C-NN,C-NN,C-NN,C-AD,C-AD,C-AD,C-VV,C-VV,C-VV
那,时,候,我,真,的,很,生,气,他	C-DT,C-NN,C-NN,C-PN,C-AD,C-AD,C-AD,S-VV,C-VV,C-PN
那,里,的,温,泉,很,有,名,让,我,们,的,皮,肤,变,成,很,好	C-PN,C-PN,C-DEG,C-NN,C-NN,C-AD,C-VE,C-M,C-VV,C-PN,C-PN,C-DEG,C-NN,C-NN,S-VV,C-VV,C-AD,C-VA
并,没,有,负,他,们,该,有,的,社,会,责,任	C-AD,C-VV,C-VV,C-VV,M-PN,C-PN,C-VV,C-VV,C-DEC,C-NN,C-NN,C-NN,C-NN
其,实,我,并,没,有,做,过,什,么,错,误	C-AD,C-AD,C-PN,C-AD,C-AD,C-AD,S-VV,C-AS,C-PN,C-PN,C-VA,C-VA
其,实,我,到,台,湾,来,是,因,为,我,妈,妈,要,我,去	C-AD,C-AD,C-PN,C-VV,C-NR,C-NR,C-VV,C-VC,C-P,C-P,C-PN,C-NN,C-NN,C-VV,C-PN,S-VV
妳,自,己,也,提,到,李,大,年,吓,了,一,惊	C-NR,C-NR,C-NR,C-AD,C-VV,C-VV,C-NR,C-JJ,C-JJ,C-VV,C-AS,C-NN,S-NN
妳,竟,然,含,著,这,种,让,人,很,难,过,的,事,情,找,我	C-AD,C-AD,C-AD,S-VV,C-AS,C-AD,C-AD,C-VV,C-NN,C-AD,C-VA,C-VV,C-DEC,C-NN,C-NN,C-VV,C-VV
或,者,他,们,的,薪,水,被,减,掉,了	C-CC,C-CC,C-NN,C-NN,C-NN,C-NN,C-NN,C-SB,S-VV,C-VV,C-SP
或,者,拿,来,台,湾,文,化,来,看	C-AD,C-AD,C-VV,R-VV,C-NR,C-NR,C-NN,C-NN,C-LC,C-LC
或,者,当,我,们,有,心,事,不,知,道,跟,谁,泄,漏	C-AD,C-AD,C-P,C-PN,C-PN,C-VE,C-NN,C-NN,C-AD,C-VV,C-VV,C-P,C-PN,S-VV,C-VV
所,以,年,纪,小,或,社,会,经,验,少,的,人,容,易,被,歹,徒,上,当	C-AD,C-AD,C-NN,C-NN,C-JJ,C-CC,C-NN,C-NN,C-NN,C-NN,C-VA,C-DEC,C-NN,C-AD,C-AD,C-SB,C-NN,C-NN,S-LC,C-VV
所,以,你,应,该,很,快,就,认,得,我,了	C-AD,C-AD,C-PN,C-VV,C-VV,C-AD,C-AD,C-AD,S-VV,C-VV,C-PN,C-SP
所,以,我,不,敢,把,刚,刚,见,面,的,人,叫,为,我,的,朋,友	C-AD,C-AD,C-PN,C-AD,C-VV,C-BA,C-AD,C-AD,C-VV,C-VV,C-DEC,C-NN,S-VV,C-P,C-PN,C-DEG,C-NN,C-NN
所,以,我,来,台,湾,以,前,没,看,他	C-AD,C-AD,C-PN,C-VV,C-NR,C-NR,C-LC,C-LC,C-AD,C-VV,M-PN
